Location,BinType,LWH,Volume,Row,SubLevel,Longitude,Latitude,Neutral,Level,Warehouse,Area,Type,Code,Status
10 10 A 100,3,100x100x100,1000000,,10,70,30,1,1,Q7,CEN,bin,Q7-CEN-31,active
10 10 A 103,3,100x100x100,1000000,,10,70,30,1,1,Q7,CEN,bin,Q7-CEN-32,active
I 2 A 22,0,10x10x10,1000,2,A,2,22,1,1,Q7,CEN,bin,Q7-CEN-33,active
I C A 10,3,100x100x100,1000000,C,A,3,10,-1,1,Q7,CEN,bin,Q7-CEN-34,active
I C A 13,3,100x100x100,1000000,C,A,3,13,-1,1,Q7,CEN,bin,Q7-CEN-35,active
I I A 01,4,50x50x50,125000,I,A,1,1,-1,1,Q7,CEN,bin,Q7-CEN-36,active
I I A 02,4,50x50x50,125000,I,A,1,2,-1,1,Q7,CEN,bin,Q7-CEN-37,active
I I A 03,4,50x50x50,125000,I,A,1,3,-1,1,Q7,CEN,bin,Q7-CEN-38,active
I I A 04,4,50x50x50,125000,I,A,1,4,-1,1,Q7,CEN,bin,Q7-CEN-39,active
I I A 05,4,50x50x50,125000,I,A,1,5,-1,1,Q7,CEN,bin,Q7-CEN-40,active
I I A 06,4,50x50x50,125000,I,A,1,6,-1,1,Q7,CEN,bin,Q7-CEN-41,active
I I A 07,4,50x50x50,125000,I,A,1,7,-1,1,Q7,CEN,bin,Q7-CEN-42,active
I I A 08,4,50x50x50,125000,I,A,1,8,-1,1,Q7,CEN,bin,Q7-CEN-43,active
I I A 09,4,50x50x50,125000,I,A,1,9,-1,1,Q7,CEN,bin,Q7-CEN-44,active
I I A 10,4,50x50x50,125000,I,A,1,10,-1,1,Q7,CEN,bin,Q7-CEN-45,active
I I A 100,3,100x20x30,60000,I,A,1,100,-1,1,Q7,CEN,bin,Q7-CEN-46,active
I I A 11,4,50x50x50,125000,I,A,1,11,-1,1,Q7,CEN,bin,Q7-CEN-47,active
I I A 12,4,50x50x50,125000,I,A,1,12,-1,1,Q7,CEN,bin,Q7-CEN-48,active
I I A 13,4,50x50x50,125000,I,A,1,13,-1,1,Q7,CEN,bin,Q7-CEN-49,active
I I A 14,4,50x50x50,125000,I,A,1,14,-1,1,Q7,CEN,bin,Q7-CEN-50,active
I I A 15,4,50x50x50,125000,I,A,1,15,-1,1,Q7,CEN,bin,Q7-CEN-51,active
I I A 16,4,50x50x50,125000,I,A,1,16,-1,1,Q7,CEN,bin,Q7-CEN-52,active
I I A 17,4,50x50x50,125000,I,A,1,17,-1,1,Q7,CEN,bin,Q7-CEN-53,active
I I A 18,4,50x50x50,125000,I,A,1,18,-1,1,Q7,CEN,bin,Q7-CEN-54,active
I I A 19,4,50x50x50,125000,I,A,1,19,-1,1,Q7,CEN,bin,Q7-CEN-55,active
I I A 20,4,50x50x50,125000,I,A,1,20,-1,1,Q7,CEN,bin,Q7-CEN-56,active
I I A 200,2,10x10x30,3000,I,A,1,200,-1,1,Q7,CEN,bin,Q7-CEN-57,active
I I A 202,2,10x10x30,3000,I,A,1,202,-1,1,Q7,CEN,bin,Q7-CEN-58,active
I I A 21,4,50x50x50,125000,I,A,1,21,-1,1,Q7,CEN,bin,Q7-CEN-59,active
I I A 22,4,50x50x50,125000,I,A,1,22,-1,1,Q7,CEN,bin,Q7-CEN-60,active
I I A 23,4,50x50x50,125000,I,A,1,23,-1,1,Q7,CEN,bin,Q7-CEN-61,active
I I A 24,4,50x50x50,125000,I,A,1,24,-1,1,Q7,CEN,bin,Q7-CEN-62,active
I I A 25,4,50x50x50,125000,I,A,1,25,-1,1,Q7,CEN,bin,Q7-CEN-63,active
I I A 26,4,50x50x50,125000,I,A,1,26,-1,1,Q7,CEN,bin,Q7-CEN-64,active
I I A 27,4,50x50x50,125000,I,A,1,27,-1,1,Q7,CEN,bin,Q7-CEN-65,active
I I A 28,4,50x50x50,125000,I,A,1,28,-1,1,Q7,CEN,bin,Q7-CEN-66,active
I I A 29,4,50x50x50,125000,I,A,1,29,-1,1,Q7,CEN,bin,Q7-CEN-67,active
I I A 30,4,50x50x50,125000,I,A,1,30,-1,1,Q7,CEN,bin,Q7-CEN-68,active
I I A 31,4,50x50x50,125000,I,A,1,31,-1,1,Q7,CEN,bin,Q7-CEN-69,active
I I A 32,4,50x50x50,125000,I,A,1,32,-1,1,Q7,CEN,bin,Q7-CEN-70,active
I I A 33,4,50x50x50,125000,I,A,1,33,-1,1,Q7,CEN,bin,Q7-CEN-71,active
I I A 34,4,50x50x50,125000,I,A,1,34,-1,1,Q7,CEN,bin,Q7-CEN-72,active
I I A 35,4,50x50x50,125000,I,A,1,35,-1,1,Q7,CEN,bin,Q7-CEN-73,active
I I A 36,4,50x50x50,125000,I,A,1,36,-1,1,Q7,CEN,bin,Q7-CEN-74,active
I I A 37,4,50x50x50,125000,I,A,1,37,-1,1,Q7,CEN,bin,Q7-CEN-75,active
I I A 38,4,50x50x50,125000,I,A,1,38,-1,1,Q7,CEN,bin,Q7-CEN-76,active
I I A 39,4,50x50x50,125000,I,A,1,39,-1,1,Q7,CEN,bin,Q7-CEN-77,active
I I A 40,4,50x50x50,125000,I,A,1,40,-1,1,Q7,CEN,bin,Q7-CEN-78,active
I I A 41,4,50x50x50,125000,I,A,1,41,-1,1,Q7,CEN,bin,Q7-CEN-79,active
I I A 42,4,50x50x50,125000,I,A,1,42,-1,1,Q7,CEN,bin,Q7-CEN-80,active
I I A 43,4,50x50x50,125000,I,A,1,43,-1,1,Q7,CEN,bin,Q7-CEN-81,active
I I A 44,4,50x50x50,125000,I,A,1,44,-1,1,Q7,CEN,bin,Q7-CEN-82,active
I I A 45,4,50x50x50,125000,I,A,1,45,-1,1,Q7,CEN,bin,Q7-CEN-83,active
I I A 46,4,50x50x50,125000,I,A,1,46,-1,1,Q7,CEN,bin,Q7-CEN-84,active
I I A 47,4,50x50x50,125000,I,A,1,47,-1,1,Q7,CEN,bin,Q7-CEN-85,active
I I A 48,4,50x50x50,125000,I,A,1,48,-1,1,Q7,CEN,bin,Q7-CEN-86,active
I I A 49,4,50x50x50,125000,I,A,1,49,-1,1,Q7,CEN,bin,Q7-CEN-87,active
I I A 50,4,50x50x50,125000,I,A,1,50,-1,1,Q7,CEN,bin,Q7-CEN-88,active
I I A 51,0,10x10x10,1000,I,A,1,51,-1,1,Q7,CEN,bin,Q7-CEN-89,active
I I AA 43,0,100x100x100,1000000,I,A,1,52,-1,1,Q7,CEN,bin,Q7-CEN-90,active
I I AA 45,0,100x100x100,1000000,I,A,1,53,-1,1,Q7,CEN,bin,Q7-CEN-91,active
I I AA 47,0,100x100x100,1000000,I,A,1,54,-1,1,Q7,CEN,bin,Q7-CEN-92,active
I I AA 49,0,100x100x100,1000000,I,A,1,55,-1,1,Q7,CEN,bin,Q7-CEN-93,active
I I AA 51,0,100x100x100,1000000,I,A,1,56,-1,1,Q7,CEN,bin,Q7-CEN-94,active
I I AA 53,0,100x100x100,1000000,I,A,1,57,-1,1,Q7,CEN,bin,Q7-CEN-95,active
I I AA 55,0,100x100x100,1000000,I,A,1,58,-1,1,Q7,CEN,bin,Q7-CEN-96,active
I I AA 57,0,100x100x100,1000000,I,A,1,59,-1,1,Q7,CEN,bin,Q7-CEN-97,active
I I AA 59,0,100x100x100,1000000,I,A,1,60,-1,1,Q7,CEN,bin,Q7-CEN-98,active
I I AA 61,0,100x100x100,1000000,I,A,1,61,-1,1,Q7,CEN,bin,Q7-CEN-99,active
I I AB 43,0,100x100x100,1000000,I,A,1,43,-1,1,Q7,CEN,bin,Q7-CEN-100,active
I I AB 45,0,100x100x100,1000000,I,A,1,45,-1,1,Q7,CEN,bin,Q7-CEN-101,active
I I AB 47,0,100x100x100,1000000,I,A,1,47,-1,1,Q7,CEN,bin,Q7-CEN-102,active
I I AB 49,0,100x100x100,1000000,I,A,1,49,-1,1,Q7,CEN,bin,Q7-CEN-103,active
I I AB 51,0,100x100x100,1000000,I,A,1,51,-1,1,Q7,CEN,bin,Q7-CEN-104,active
I I AB 53,0,100x100x100,1000000,I,A,1,53,-1,1,Q7,CEN,bin,Q7-CEN-105,active
I I AB 55,0,100x100x100,1000000,I,A,1,55,-1,1,Q7,CEN,bin,Q7-CEN-106,active
I I AB 57,0,100x100x100,1000000,I,A,1,57,-1,1,Q7,CEN,bin,Q7-CEN-107,active
I I AB 59,0,100x100x100,1000000,I,A,1,59,-1,1,Q7,CEN,bin,Q7-CEN-108,active
I I AB 61,0,100x100x100,1000000,I,A,1,61,-1,1,Q7,CEN,bin,Q7-CEN-109,active
R 1 A 01,0,100x100x100,1000000,1,A,1,1,-1,1,Q7,CEN,bin,Q7-CEN-110,active
R I A 01,0,20x20x20,8000,I,A,1,1,-1,1,Q7,CEN,bin,Q7-CEN-111,active
R I A 02,0,20x20x20,8000,I,A,1,2,-1,1,Q7,CEN,bin,Q7-CEN-112,active
R I A 03,0,20x20x20,8000,I,A,1,3,-1,1,Q7,CEN,bin,Q7-CEN-113,active
R I A 04,0,20x20x20,8000,I,A,1,4,-1,1,Q7,CEN,bin,Q7-CEN-114,active
R I A 05,0,20x20x20,8000,I,A,1,5,-1,1,Q7,CEN,bin,Q7-CEN-115,active
R I A 06,0,20x20x20,8000,I,A,1,6,-1,1,Q7,CEN,bin,Q7-CEN-116,active
R I A 07,0,20x20x20,8000,I,A,1,7,-1,1,Q7,CEN,bin,Q7-CEN-117,active
R I A 08,0,20x20x20,8000,I,A,1,8,-1,1,Q7,CEN,bin,Q7-CEN-118,active
R I A 09,0,20x20x20,8000,I,A,1,9,-1,1,Q7,CEN,bin,Q7-CEN-119,active
R I A 10,0,20x20x20,8000,I,A,1,10,-1,1,Q7,CEN,bin,Q7-CEN-120,active
R I A 11,4,10x10x10,1000,I,A,1,11,-1,1,Q7,CEN,bin,Q7-CEN-121,active
R1 A A 01,0,100x100x100,1000000,,A ,1,1,-1,1,Q7,CEN,bin,Q7-CEN-122,active
R1 A A 02,0,100x100x100,1000000,,A ,1,2,-1,1,Q7,CEN,bin,Q7-CEN-123,active
R1 A A 03,0,100x100x100,1000000,,A ,1,3,-1,1,Q7,CEN,bin,Q7-CEN-124,active
R1 A A 04,0,100x100x100,1000000,,A ,1,4,-1,1,Q7,CEN,bin,Q7-CEN-125,active
R1 A A 05,0,100x100x100,1000000,,A ,1,5,-1,1,Q7,CEN,bin,Q7-CEN-126,active
R1 A A 06,0,100x100x100,1000000,,A ,1,6,-1,1,Q7,CEN,bin,Q7-CEN-127,active
R1 A A 07,0,100x100x100,1000000,,A ,1,7,-1,1,Q7,CEN,bin,Q7-CEN-128,active
R1 A A 08,0,100x100x100,1000000,,A ,1,8,-1,1,Q7,CEN,bin,Q7-CEN-129,active
R1 A A 09,0,100x100x100,1000000,,A ,1,9,-1,1,Q7,CEN,bin,Q7-CEN-130,active
R1 A A 10,0,100x100x100,1000000,,A ,1,10,-1,1,Q7,CEN,bin,Q7-CEN-131,active
X I A 01,0,10x10x10,1000,I,A,1,1,-1,1,Q7,CEN,bin,Q7-CEN-132,active
X I A 02,0,10x10x10,1000,I,A,1,2,-1,1,Q7,CEN,bin,Q7-CEN-133,active
X I A 03,0,10x10x10,1000,I,A,1,3,-1,1,Q7,CEN,bin,Q7-CEN-134,active
X I A 04,0,10x10x10,1000,I,A,1,4,-1,1,Q7,CEN,bin,Q7-CEN-135,active
X I A 05,0,10x10x10,1000,I,A,1,5,-1,1,Q7,CEN,bin,Q7-CEN-136,active
X I A 06,1,10x10x10,1000,I,A,1,6,-1,1,Q7,CEN,bin,Q7-CEN-137,active
X I A 07,0,10x10x10,1000,I,A,1,7,-1,1,Q7,CEN,bin,Q7-CEN-138,active
X I A 08,1,10x10x10,1000,I,A,1,8,-1,1,Q7,CEN,bin,Q7-CEN-139,active
X I A 09,0,10x10x10,1000,I,A,1,9,-1,1,Q7,CEN,bin,Q7-CEN-140,active
X I A 10,0,10x10x10,1000,I,A,1,10,-1,1,Q7,CEN,bin,Q7-CEN-141,active
X I A 300,3,10x20x30,6000,I,A,1,300,-1,1,Q7,CEN,bin,Q7-CEN-142,active
X I A 302,3,10x20x30,6000,I,A,1,302,-1,1,Q7,CEN,bin,Q7-CEN-143,active
X I B 01,3,10x10x10,1000,I,B,1,1,-1,1,Q7,CEN,bin,Q7-CEN-144,active
X I B 02,3,10x10x10,1000,I,B,1,2,-1,1,Q7,CEN,bin,Q7-CEN-145,active
X I B 03,3,10x10x10,1000,I,B,1,3,-1,1,Q7,CEN,bin,Q7-CEN-146,active
X I B 04,3,10x10x10,1000,I,B,1,4,-1,1,Q7,CEN,bin,Q7-CEN-147,active
X I B 05,3,10x10x10,1000,I,B,1,5,-1,1,Q7,CEN,bin,Q7-CEN-148,active
X I B 06,3,10x10x10,1000,I,B,1,6,-1,1,Q7,CEN,bin,Q7-CEN-149,active
X I B 07,3,10x10x10,1000,I,B,1,7,-1,1,Q7,CEN,bin,Q7-CEN-150,active
X I B 08,3,10x10x10,1000,I,B,1,8,-1,1,Q7,CEN,bin,Q7-CEN-151,active
X I B 09,3,10x10x10,1000,I,B,1,9,-1,1,Q7,CEN,bin,Q7-CEN-152,active
X I B 10,3,10x10x10,1000,I,B,1,10,-1,1,Q7,CEN,bin,Q7-CEN-153,active
